,accuracy,precision,recall,model,ADE,FDE,epoch,dataset
0,0.5527481782562526,0.4824627926817708,0.8871361338678752,GT End State S1,3.2726123332977295,1.423101782798767,4400,swm_data.pkl
1,0.5583873448313743,0.48599292475380057,0.8860031375283249,GT End State S2,3.246628999710083,1.2381844520568848,6200,swm_data.pkl
2,0.557874693324545,0.48564318529862177,0.8844343733658707,GT End State S3,3.2259998321533203,1.2099312543869019,5800,swm_data.pkl
