,model,score,ADE,FDE,epoch,dataset
0,Deter. Event Model DS 1000,0.18032786885245902,9.62556266784668,10.009746551513672,/data3/ziyxiang/swm_data_and_results/checkpoint/models/em_deter_1000/mp_model_epoch29999,swm_data.pkl
1,Deter. Event Model DS 10000,0.2459016393442623,8.592459678649902,9.071702003479004,/data3/ziyxiang/swm_data_and_results/checkpoint/models/em_deter_10000/mp_model_epoch29200,swm_data.pkl
2,Deter. Event Model DS 20000,0.3114754098360656,8.459929466247559,8.771515846252441,/data3/ziyxiang/swm_data_and_results/checkpoint/models/em_deter_20000/mp_model_epoch7800,swm_data.pkl
3,Deter. Event Model DS 1e5,0.4918032786885246,7.703569412231445,8.169143676757812,/data3/ziyxiang/swm_data_and_results/checkpoint/models/em_deter_1e5/mp_model_epoch2000,swm_data.pkl
4,Stoch. Event Model DS 1000,0.20491803278688525,9.730609893798828,10.270770072937012,/data3/ziyxiang/swm_data_and_results/checkpoint/models/em_stoch_1000/mp_model_epoch29999,swm_data.pkl
5,Stoch. Event Model DS 10000,0.20491803278688525,8.753815650939941,9.391535758972168,/data3/ziyxiang/swm_data_and_results/checkpoint/models/em_stoch_10000/mp_model_epoch23800,swm_data.pkl
6,Stoch. Event Model DS 20000,0.27049180327868855,8.477989196777344,9.128602027893066,/data3/ziyxiang/swm_data_and_results/checkpoint/models/em_stoch_20000/mp_model_epoch6200,swm_data.pkl
7,Stoch. Event Model DS 1e5,0.4180327868852459,6.867740631103516,7.113260269165039,/data3/ziyxiang/swm_data_and_results/checkpoint/models/em_stoch_1e5/mp_model_epoch5400,swm_data.pkl
