,model,score,ADE,FDE,epoch,dataset
0,Event Model Stochastic,0.3518821603927987,7.9197564125061035,8.315042495727539,/data2/locross/analysis/models/em_stoch/mp_model_epoch6600,swm_data.pkl
1,Event Model Stochastic,0.3044189852700491,8.203625679016113,8.655486106872559,/data2/locross/analysis/models/em_stoch_beta0_5/mp_model_epoch6600,swm_data.pkl
2,Event Model Stochastic,0.2864157119476268,8.165453910827637,8.555606842041016,/data2/locross/analysis/models/em_stoch_beta0_1/mp_model_epoch6600,swm_data.pkl
3,Event Model Stochastic,0.2905073649754501,8.094929695129395,8.534605026245117,/data2/locross/analysis/models/em_stoch_beta10/mp_model_epoch6800,swm_data.pkl
4,Event Model Stochastic,0.3158756137479542,8.075302124023438,8.484896659851074,/data2/locross/analysis/models/em_stoch_beta100/mp_model_epoch7000,swm_data.pkl
5,Event Model Stochastic,0.28477905073649756,8.076090812683105,8.518526077270508,/data2/locross/analysis/models/em_stoch_beta1e3/mp_model_epoch6800,swm_data.pkl
