,model,g2_acc,g2_goal_num,g3_acc,g3_goal_num,ADE,FDE,epoch,dataset
0,Deter. Event Model DS 1000,0.425531914893617,2nd Goal,0.3617021276595745,3rd Goal,10.064351081848145,10.230554580688477,/data3/ziyxiang/swm_data_and_results/checkpoint/models/em_deter_1000/mp_model_epoch29999,swm_data.pkl
1,Deter. Event Model DS 10000,0.23404255319148937,2nd Goal,0.2127659574468085,3rd Goal,9.796401977539062,10.317272186279297,/data3/ziyxiang/swm_data_and_results/checkpoint/models/em_deter_10000/mp_model_epoch29000,swm_data.pkl
2,Deter. Event Model DS 20000,0.1276595744680851,2nd Goal,0.06382978723404255,3rd Goal,9.697525978088379,10.441754341125488,/data3/ziyxiang/swm_data_and_results/checkpoint/models/em_deter_20000/mp_model_epoch7800,swm_data.pkl
3,Deter. Event Model DS 1e5,0.3617021276595745,2nd Goal,0.23404255319148937,3rd Goal,8.257162094116211,9.513081550598145,/data3/ziyxiang/swm_data_and_results/checkpoint/models/em_deter_1e5/mp_model_epoch2000,swm_data.pkl
4,Stoch. Event Model DS 1000,0.46808510638297873,2nd Goal,0.5106382978723404,3rd Goal,9.92663860321045,10.263169288635254,/data3/ziyxiang/swm_data_and_results/checkpoint/models/em_stoch_1000/mp_model_epoch29999,swm_data.pkl
5,Stoch. Event Model DS 10000,0.23404255319148937,2nd Goal,0.1276595744680851,3rd Goal,10.297674179077148,10.771422386169434,/data3/ziyxiang/swm_data_and_results/checkpoint/models/em_stoch_10000/mp_model_epoch23600,swm_data.pkl
6,Stoch. Event Model DS 20000,0.2978723404255319,2nd Goal,0.2127659574468085,3rd Goal,9.372756004333496,9.834296226501465,/data3/ziyxiang/swm_data_and_results/checkpoint/models/em_stoch_20000/mp_model_epoch6200,swm_data.pkl
7,Stoch. Event Model DS 1e5,0.8723404255319149,2nd Goal,0.5319148936170213,3rd Goal,6.448953628540039,6.906403064727783,/data3/ziyxiang/swm_data_and_results/checkpoint/models/em_stoch_1e5/mp_model_epoch5400,swm_data.pkl
