,model,g2_acc,g2_goal_num,g3_acc,g3_goal_num,ADE,FDE,epoch,dataset
0,GT End State S1,0.9916492693110647,2nd Goal,1.0,3rd Goal,3.7574663162231445,1.1165738105773926,4400,swm_data.pkl
1,GT End State S2,0.9916492693110647,2nd Goal,1.0,3rd Goal,3.7144384384155273,0.7937474250793457,6200,swm_data.pkl
2,GT End State S3,0.9916492693110647,2nd Goal,1.0,3rd Goal,3.752070426940918,1.0324132442474365,5800,swm_data.pkl
