,model,score,ADE,FDE,epoch,dataset
0,GT End State S1,0.9942716857610474,2.7998831272125244,1.289705753326416,4400,swm_data.pkl
1,GT End State S2,0.9950900163666121,2.6970479488372803,1.0460084676742554,6200,swm_data.pkl
2,GT End State S3,0.9934533551554828,2.6828272342681885,1.0452040433883667,5800,swm_data.pkl
