,model,score,ADE,FDE,epoch,dataset
0,Event Model Stochastic,0.18657937806873978,7.8543477058410645,8.137262344360352,/data2/locross/analysis/models/em_stoch/mp_model_epoch6600,swm_data.pkl
1,Event Model Stochastic,0.18330605564648117,8.128595352172852,8.464110374450684,/data2/locross/analysis/models/em_stoch_beta0_5/mp_model_epoch6600,swm_data.pkl
2,Event Model Stochastic,0.16775777414075285,7.997290134429932,8.204513549804688,/data2/locross/analysis/models/em_stoch_beta0_1/mp_model_epoch6600,swm_data.pkl
3,Event Model Stochastic,0.16448445171849427,8.025752067565918,8.25756549835205,/data2/locross/analysis/models/em_stoch_beta10/mp_model_epoch6600,swm_data.pkl
4,Event Model Stochastic,0.1939443535188216,8.020400047302246,8.312159538269043,/data2/locross/analysis/models/em_stoch_beta100/mp_model_epoch6800,swm_data.pkl
5,Event Model Stochastic,0.18085106382978725,7.954367637634277,8.252882957458496,/data2/locross/analysis/models/em_stoch_beta1e3/mp_model_epoch6800,swm_data.pkl
