,model,score,ADE,FDE,epoch,dataset
0,Deter. Event Model DS 1000,0.13114754098360656,9.657328605651855,9.924646377563477,/data3/ziyxiang/swm_data_and_results/checkpoint/models/em_deter_1000/mp_model_epoch29999,swm_data.pkl
1,Deter. Event Model DS 10000,0.01639344262295082,8.756771087646484,8.845203399658203,/data3/ziyxiang/swm_data_and_results/checkpoint/models/em_deter_10000/mp_model_epoch29000,swm_data.pkl
2,Deter. Event Model DS 20000,0.02459016393442623,8.667264938354492,8.83633041381836,/data3/ziyxiang/swm_data_and_results/checkpoint/models/em_deter_20000/mp_model_epoch7800,swm_data.pkl
3,Deter. Event Model DS 1e5,0.23770491803278687,7.350937366485596,7.79207706451416,/data3/ziyxiang/swm_data_and_results/checkpoint/models/em_deter_1e5/mp_model_epoch2000,swm_data.pkl
4,Stoch. Event Model DS 1000,0.14754098360655737,9.813214302062988,10.270171165466309,/data3/ziyxiang/swm_data_and_results/checkpoint/models/em_stoch_1000/mp_model_epoch29999,swm_data.pkl
5,Stoch. Event Model DS 10000,0.05737704918032787,8.864873886108398,9.355481147766113,/data3/ziyxiang/swm_data_and_results/checkpoint/models/em_stoch_10000/mp_model_epoch23600,swm_data.pkl
6,Stoch. Event Model DS 20000,0.13934426229508196,8.677714347839355,9.050161361694336,/data3/ziyxiang/swm_data_and_results/checkpoint/models/em_stoch_20000/mp_model_epoch6200,swm_data.pkl
7,Stoch. Event Model DS 1e5,0.5245901639344263,6.4085211753845215,6.784546375274658,/data3/ziyxiang/swm_data_and_results/checkpoint/models/em_stoch_1e5/mp_model_epoch5400,swm_data.pkl
