,model,score,ADE,FDE
0,SGNet 10,0.8764320785597381,5.975360870361328,6.176608562469482
1,SGNet 10 S2,0.837152209492635,5.813510417938232,5.914039134979248
2,SGNet 10 S3,0.8527004909983633,5.864095687866211,5.9108405113220215
