,accuracy,precision,recall,model,epoch,dataset,ADE,FDE
64,0.42509795305576914,0.421960407741173,0.9957294753355412,Stoch. Event Model DS 1000,/data3/ziyxiang/swm_data_and_results/checkpoint/models/em_stoch_1000/mp_model_epoch29999,swm_data.pkl,8.358588218688965,9.56197452545166
65,0.5274817825625252,0.46906636670416196,0.9449189471849399,Stoch. Event Model DS 10000,/data3/ziyxiang/swm_data_and_results/checkpoint/models/em_stoch_10000/mp_model_epoch16000,swm_data.pkl,6.907956123352051,7.990050315856934
66,0.6795928082317185,0.5824854651162791,0.8382429841380512,Stoch. Event Model DS 20000,/data3/ziyxiang/swm_data_and_results/checkpoint/models/em_stoch_20000/mp_model_epoch6200,swm_data.pkl,6.2601189613342285,7.182114124298096
67,0.8091471676004248,0.8503020810024614,0.6623670908140143,Stoch. Event Model DS 1e5,/data3/ziyxiang/swm_data_and_results/checkpoint/models/em_stoch_1e5/mp_model_epoch3400,swm_data.pkl,4.168447017669678,4.9919233322143555
68,0.4203009996704383,0.42019854207113816,0.9997385393062577,RSSM DS1000,/mnt/fs2/locross/analysis/models/rssm_ds1000/rssm_ds1000_epoch29999,swm_data.pkl,7.668843746185303,8.697796821594238
69,0.6271192647112673,0.5334369334369334,0.8975074080529893,RSSM DS5000,/mnt/fs2/locross/analysis/models/rssm_ds5000/rssm_ds5000_epoch10000,swm_data.pkl,6.281532287597656,7.272620677947998
70,0.7975758907319931,0.7901053864168618,0.7056824124106676,RSSM DS10000,/mnt/fs2/locross/analysis/models/rssm_ds10000/rssm_ds10000_epoch5600,swm_data.pkl,5.75225305557251,6.62982177734375
71,0.8142004467391702,0.8490401396160558,0.6784033466968798,RSSM DS20000,/mnt/fs2/locross/analysis/models/rssm_ds20000/rssm_ds20000_epoch2200,swm_data.pkl,5.483232021331787,6.232028484344482
72,0.817789007286975,0.8942961165048544,0.6422346173958515,RSSM DS30000,/mnt/fs2/locross/analysis/models/rssm_ds30000/rssm_ds30000_epoch2000,swm_data.pkl,5.323092460632324,5.999907493591309
73,0.8159214910835256,0.940549405494055,0.5997908314450061,RSSM-S1,/mnt/fs2/locross/analysis/models/rssm_disc_h_2048_lr3e-4_s1/rssm_disc_h_2048_lr3e-4_s1_epoch24200,swm_data.pkl,5.297418594360352,6.048445701599121
74,0.7260610055293126,0.6339483394833948,0.8235140317238975,RSSM DS1e5,/mnt/fs2/locross/analysis/models/rssm_ds1e5/rssm_ds1e5_epoch3600,swm_data.pkl,5.242379665374756,5.980382442474365
